Tamaño muestra, Bubblesort mejor,Bubblesort peor, Bubblesort promedio, Insertionsort mejor, Insertionsort peor, Insertionsort promedio, Selectionsort mejor, Selectionsort peor, Selectionsort promedio, Cocktailsort mejor, Cocktailsort peor, Cocktailsort promedio
1000, 0.000026, 0.008580, 0.005138, 0.000011, 0.003454, 0.002764, 0.001288, 0.001243, 0.001848, 0.000003, 0.007938, 0.004949
2000, 0.000018, 0.033362, 0.020307, 0.000023, 0.014227, 0.010990, 0.005229, 0.005244, 0.007634, 0.000005, 0.032386, 0.019869
4000, 0.000031, 0.134435, 0.083964, 0.000046, 0.056863, 0.045671, 0.021903, 0.021875, 0.031213, 0.000012, 0.130772, 0.082688
7000, 0.000043, 0.411469, 0.264781, 0.000083, 0.174544, 0.140229, 0.067155, 0.068129, 0.095650, 0.000035, 0.401484, 0.259934
11000, 0.000087, 1.020251, 0.681432, 0.000166, 0.440842, 0.355670, 0.167016, 0.171714, 0.239273, 0.000046, 0.994504, 0.664255
16000, 0.000158, 2.150472, 1.493513, 0.000637, 0.947991, 0.767230, 0.371467, 0.378060, 0.527085, 0.000262, 2.109620, 1.428850
22000, 0.000599, 4.094817, 2.927941, 0.000379, 1.804095, 1.487567, 0.749234, 0.748959, 1.047395, 0.000167, 4.053677, 2.778654
28000, 0.000283, 6.695638, 4.868210, 0.000413, 2.975171, 2.459376, 1.258013, 1.248696, 1.769124, 0.000292, 6.673452, 4.637969
50000, 0.000521, 23.557539, 18.176033, 0.000925, 13.856569, 9.109752, 5.456876, 5.512435, 7.358468, 0.001123, 23.666756, 17.760221
